** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,11
large-town.txt,2255053,50000,54
city.txt,4511688,100000,120
large-city.txt,22554540,500000,786
metropolis.txt,45107513,1000000,1631
capital.txt,90209834,2000000,3812
megalopolis.txt,227564229,5000000,11827
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,78
large-town.txt,2255053,50000,76
city.txt,4511688,100000,117
large-city.txt,22554540,500000,645
metropolis.txt,45107513,1000000,1590
capital.txt,90209834,2000000,2539
megalopolis.txt,227564229,5000000,6977
